Species
Adamsia palliata
Dysidea fragilis
Diaphus dumerilii
Lobianchia dofleini
Zenion hololepis
Ensis ensis
Capulus ungaricus
Ancistroteuthis lichtensteinii
Hydrolagus mirabilis
Dicentrarchus punctatus
Aphanopus carbo
Chauliodus sloani
Ectopleura larynx
Squalus blainville
Chelon auratus
Abramis brama
Xandarovula patula
Armina loveni
Doris sticta
Ebalia tumefacta
Holothuria forskali
Aplysia punctata
Botrylloides leachii
Monodaeus couchii
Chirolophis ascanii
Scorpaena loppei
Leptoclinus maculatus
Upogebia stellata
Molgula occulta
Lesueurigobius suerii
Scaeurgus unicirrhus
Ophichthus rufus
Trachyscorpia cristulata
Sepietta neglecta
Chimaera opalescens
Tritia nitida
Atherina boyeri
Diplodus cervinus
Diplodus sargus
Microchirus theophila
Potamocorbula amurensis
Nymphon brevirostre
Hemigrapsus sanguineus
Huso brevirostrum
Trachipterus arcticus
Bathynectes longipes
Chelon labrosus
Myrtea spinifera
Gymnocephalus cernua
Pseudarchaster parelii
Cottunculus thomsonii
Rajella bigelowi
Microchirus ocellatus
Nesiarchus nasutus
Acanthocardia aculeata
Palaemon elegans
Porella compressa
Bathypterois dubius
Pomatoschistus pictus
Callionymus risso
Schedophilus medusophagus
Buccinum hydrophanum
Mya truncata
Strongylocentrotus droebachiensis
Monochirus hispidus
Guttigadus latifrons
Raja asterias
Ensis siliqua
Pirimela denticulata
Steromphala tumida
Hiatella arctica
Pagurus alatus
Polyclinum aurantium
Phaxas pellucidus
Hippocampus guttulatus
Yoldia limatula
Ocnus planci
Nezumia sclerorhynchus
Acanthephyra pelagica
Opisthoteuthis agassizii
Acanthocardia paucicostata
Macrourus berglax
Hediste diversicolor
Mergellus albellus
Propebela turricula
Notacanthus chemnitzii
Holtbyrnia anomala
Hoplostethus atlanticus
Stromateus fiatola
Scyllarus arctus
Etmopterus pusillus
Galeus murinus
Rhinochimaera atlantica
Bathyraja pallida
Borostomias mononema
Nemichthys scolopaceus
Benthoecetes bartletti
Bathynectes maravigna
Metridium dianthus
Neoscopelus macrolepidotus
Pholas dactylus
Aporrhais serresiana
Aristeus antennatus
Uranoscopus scaber
Sphoeroides pachygaster
Aurelia coerulea
Obelia bidentata
Calidris bairdii
Sphyraena sphyraena
Sarpa salpa
Sciadonus galatheae
Melanostigma atlanticum
Ophidion barbatum
Calocaris macandreae
Polyprion americanus
Lithognathus mormyrus
Umbrina cirrosa
Ichthyococcus ovatus
Psathyrocaris infirma
Xantho poressa
Paralepis coregonoides
Electrona risso
Aristaeomorpha foliacea
Auxis rochei
Aristaeopsis edwardsiana
Neoraja iberica
Chirostomias pliopterus
Sagamichthys schnakenbecki
Sigmops elongatus
Gadella maraldi
Melanonus zugmayeri
Echiostoma barbatum
Argyropelecus gigas
Evermannella balbo
Trachipterus trachypterus
